Quality of slides,Quality of presentation,Ability to interact with the audience,Answers to questions,Asked a question,Top 5,Additional comments,Student_ID,Presenter_ID,Class
6,6,2,2.0,0,Yes,0,P7,P1,1
6,5,2,2.0,0,Yes,0,P12,P1,1
5,6,2,0.0,1,Yes,0,P4,P1,1
6,6,2,2.0,0,Yes,0,P6,P1,1
6,6,2,2.0,0,No,0,P3,P1,1
6,6,2,2.0,1,Yes,1,P8,P1,1
6,6,2,2.0,0,Yes,1,P10,P1,1
6,6,2,2.0,1,Yes,0,P11,P1,1
6,6,2,2.0,1,Yes,1,P7,P5,1
6,6,2,2.0,0,Yes,0,P12,P5,1
6,6,2,2.0,0,Yes,0,P6,P5,1
4,3,2,2.0,0,No,0,P3,P5,1
6,6,2,2.0,1,Yes,0,P9,P5,1
4,6,2,2.0,0,Yes,0,P4,P5,1
6,6,2,2.0,1,No,0,P1,P5,1
6,6,2,2.0,1,Yes,1,P2,P1,1
6,6,2,2.0,0,Yes,0,P11,P5,1
6,6,2,2.0,1,Yes,0,P2,P5,1
6,6,2,2.0,1,Yes,1,P5,,1
6,6,2,2.0,1,Yes,1,P10,P5,1
6,6,2,2.0,0,Yes,0,P1,,1
6,6,2,2.0,0,Yes,1,P8,P5,1
6,6,2,2.0,0,Yes,0,P9,P3,1
5,6,2,2.0,0,No,1,P7,P3,1
6,6,2,2.0,0,No,1,P2,P3,1
6,6,2,2.0,0,No,1,P5,P3,1
5,6,2,2.0,0,Yes,0,P12,P3,1
6,6,2,2.0,0,Yes,0,P11,P3,1
6,6,2,2.0,0,No,0,P10,P3,1
5,4,2,2.0,0,No,0,P20,P23,2
6,6,2,2.0,0,Yes,0,P13,P23,2
5,5,2,2.0,1,No,1,P22,P23,2
4,6,2,2.0,0,No,1,P18,P23,2
6,6,2,2.0,0,Yes,0,P30,P23,2
4,4,1,2.0,0,No,0,P31,P23,2
6,6,2,2.0,0,No,0,P13,P15,2
6,5,2,2.0,1,No,0,P14,P23,2
6,6,2,2.0,0,Yes,0,P14,P15,2
5,5,2,2.0,0,No,0,P31,P15,2
5,5,2,2.0,0,Yes,0,P20,P15,2
6,6,2,2.0,0,No,0,P15,P23,2
5,5,2,2.0,1,Yes,1,P22,P15,2
6,6,2,2.0,1,Yes,0,P30,P15,2
5,6,2,2.0,0,No,0,P32,P23,2
6,5,2,2.0,0,Yes,0,P32,P15,2
5,5,2,2.0,0,Yes,1,P22,,2
6,6,2,2.0,0,No,0,P15,,2
6,6,2,2.0,1,No,0,P13,,2
6,6,2,2.0,0,Yes,0,P14,,2
6,6,2,2.0,1,Yes,1,P30,,2
6,6,2,2.0,0,No,0,P25,P23,2
4,4,0,0.0,1,No,0,P31,,2
6,6,2,2.0,0,Yes,0,P25,P15,2
6,6,2,2.0,0,No,1,P26,P23,2
6,6,2,2.0,0,No,0,P25,,2
6,6,2,1.0,0,Yes,1,P26,P15,2
6,6,2,2.0,0,No,0,P24,,2
6,6,2,2.0,1,Yes,1,P26,,2
6,6,2,2.0,0,No,0,P24,P23,2
6,6,2,2.0,0,No,0,P19,P15,2
6,6,2,2.0,0,No,0,P24,P15,2
6,6,2,2.0,0,No,0,P19,P23,2
3,2,2,2.0,0,No,0,P19,,2
6,5,2,2.0,0,No,0,P32,,2
6,6,2,2.0,0,No,0,P17,P23,2
4,4,2,2.0,0,No,0,P17,,2
6,6,2,2.0,0,Yes,0,P28,P23,2
6,5,2,2.0,0,No,0,P28,P15,2
6,6,2,2.0,0,No,0,P28,,2
6,6,2,2.0,1,Yes,1,P45,P41,4
5,5,2,2.0,1,No,1,P39,P41,4
6,5,2,2.0,1,Yes,1,P33,P41,4
6,6,2,2.0,0,Yes,1,P37,,4
6,6,2,2.0,1,Yes,0,P34,P41,4
5,4,2,2.0,0,Yes,0,P43,P41,4
6,6,2,2.0,1,Yes,1,P36,P41,4
6,6,2,2.0,1,Yes,1,P40,P41,4
6,6,1,1.0,0,Yes,0,P42,P41,4
6,6,2,2.0,1,Yes,1,P35,P41,4
6,6,2,2.0,0,Yes,1,P38,P41,4
6,6,2,2.0,0,Yes,0,P44,P41,4
6,6,2,2.0,0,Yes,1,P46,P41,4
6,6,2,2.0,0,Yes,1,P41,P41,4
5,5,2,2.0,0,Yes,0,P43,P39,4
6,6,2,2.0,1,Yes,1,P38,P39,4
5,3,1,2.0,1,No,0,P35,P39,4
5,5,1,2.0,1,No,1,P33,P39,4
6,6,2,2.0,1,No,0,P45,P39,4
6,6,2,2.0,1,No,0,P34,,4
6,6,2,2.0,0,No,0,P36,,4
6,6,2,2.0,0,Yes,1,P46,P39,4
6,6,2,2.0,0,Yes,0,P42,P39,4
6,6,2,2.0,0,No,1,P37,P39,4
6,6,2,2.0,0,Yes,0,P44,P39,4
6,6,2,2.0,0,Yes,1,P40,P39,4
6,6,2,2.0,0,Yes,0,P39,P38,4
5,6,2,2.0,0,Yes,0,P33,P38,4
6,6,2,2.0,0,Yes,1,P37,P38,4
5,5,2,2.0,0,No,0,P43,P38,4
6,6,2,2.0,0,Yes,0,P46,P38,4
6,6,2,2.0,0,Yes,0,P34,P38,4
6,6,2,2.0,1,Yes,0,P36,P38,4
6,6,2,2.0,0,Yes,1,P40,P38,4
6,6,2,2.0,1,No,0,P45,P38,4
6,6,2,2.0,0,Yes,0,P42,P38,4
6,6,2,2.0,1,Yes,0,P35,P38,4
6,6,2,2.0,0,Yes,0,P44,P38,4
6,6,2,2.0,1,Yes,0,P50,P55,5
5,5,2,2.0,1,No,1,P54,P55,5
6,5,2,1.0,1,Yes,0,P57,P55,5
6,6,2,2.0,1,Yes,0,P56,P55,5
5,5,2,2.0,1,No,0,P47,P55,5
4,5,2,2.0,0,No,0,P49,P55,5
6,6,2,2.0,0,Yes,1,P51,P55,5
4,6,2,2.0,0,No,0,P62,,5
6,6,2,2.0,0,Yes,0,P59,P55,5
5,6,2,2.0,0,Yes,0,P58,P55,5
5,6,2,2.0,0,Yes,1,P60,P55,5
6,6,2,2.0,0,Yes,0,P61,P55,5
6,6,2,2.0,1,Yes,1,P48,P55,5
5,4,2,2.0,1,No,0,P53,P55,5
5,6,2,2.0,0,Yes,0,P63,P55,5
5,5,2,2.0,0,No,0,P57,P56,5
4,6,2,2.0,0,No,0,P47,P56,5
3,5,2,2.0,0,No,0,P62,,5
6,6,2,2.0,1,Yes,1,P48,P56,5
6,6,2,2.0,0,No,1,P51,P56,5
4,4,2,2.0,0,No,0,P49,P56,5
4,4,2,2.0,0,No,0,P54,P56,5
4,5,2,2.0,1,No,0,P59,P56,5
4,5,2,2.0,0,No,0,P63,P56,5
4,6,2,2.0,0,No,0,P58,P56,5
5,5,2,2.0,0,No,0,P50,P56,5
3,5,1,2.0,0,No,0,P53,P56,5
6,6,2,2.0,1,Yes,0,P55,P56,5
6,5,2,2.0,0,Yes,0,P60,P56,5
6,6,2,2.0,0,Yes,0,P61,P56,5
6,5,1,2.0,1,Yes,0,P52,,5
4,4,1,1.0,0,No,0,P53,,5
6,5,1,1.0,0,Yes,0,P57,P62,5
6,6,2,2.0,1,Yes,0,P56,P62,5
6,6,2,2.0,1,Yes,0,P47,P62,5
5,5,1,2.0,1,Yes,0,P54,P62,5
5,6,2,2.0,1,Yes,0,P61,P62,5
6,6,2,2.0,0,Yes,0,P50,P62,5
6,4,1,2.0,1,No,0,P58,,5
6,6,2,2.0,0,Yes,1,P51,P62,5
6,6,2,2.0,0,No,0,P48,P62,5
5,4,2,2.0,0,No,0,P49,,5
6,6,1,2.0,1,Yes,0,P55,P62,5
5,5,2,2.0,1,No,0,P59,P62,5
6,6,1,2.0,1,Yes,1,P64,P55,5
5,5,2,2.0,0,No,1,P64,P56,5
6,6,2,2.0,0,Yes,1,P60,P62,5
6,6,2,2.0,1,Yes,0,P63,P62,5
6,6,2,2.0,0,Yes,1,P64,,5
6,5,1,1.0,1,Yes,0,P67,P65,6
5,6,2,2.0,1,No,0,P76,,6
5,6,2,2.0,0,No,0,P71,P65,6
6,6,2,2.0,0,No,0,P66,P65,6
6,6,2,2.0,1,Yes,1,P78,P65,6
6,6,2,2.0,0,No,0,P75,,6
5,5,2,0.0,1,Yes,1,P72,P65,6
6,6,2,2.0,1,Yes,1,P70,P65,6
6,6,2,2.0,1,Yes,1,P79,,6
6,6,2,2.0,0,No,1,P73,P65,6
6,6,2,2.0,1,Yes,1,P67,P68,6
5,5,2,2.0,1,No,1,P73,P68,6
6,6,2,2.0,1,Yes,0,P66,P68,6
5,5,2,2.0,0,Yes,0,P72,P68,6
6,6,2,2.0,0,No,0,P71,P68,6
6,6,2,2.0,1,Yes,1,P78,P68,6
6,6,2,2.0,0,Yes,0,P70,,6
6,6,2,1.0,1,Yes,1,P76,,6
6,6,2,2.0,1,Yes,0,P75,P68,6
6,6,2,2.0,1,Yes,1,P79,,6
6,6,2,2.0,1,Yes,0,P68,,6
6,6,2,2.0,0,No,0,P71,P67,6
6,6,2,2.0,0,No,0,P66,P67,6
5,5,2,2.0,0,No,0,P68,,6
6,6,2,2.0,0,No,0,P70,P67,6
6,6,2,2.0,1,Yes,1,P78,P67,6
6,6,2,2.0,0,Yes,0,P69,P65,6
6,6,2,2.0,1,Yes,1,P79,,6
6,6,2,2.0,1,Yes,0,P65,,6
6,6,2,2.0,1,Yes,0,P75,P67,6
6,6,2,2.0,1,No,0,P65,,6
5,5,2,2.0,0,No,0,P72,P67,6
6,6,2,2.0,1,Yes,1,P86,P82,7
6,6,2,2.0,1,Yes,0,P91,P82,7
6,6,2,2.0,1,Yes,0,P106,,7
6,6,1,2.0,0,No,0,P80,P82,7
5,6,2,2.0,0,No,0,P88,P82,7
6,5,2,2.0,0,,0,P81,P82,7
6,6,2,2.0,0,Yes,0,P84,P82,7
5,5,1,2.0,0,No,0,P91,P87,7
6,4,2,2.0,1,No,0,P80,P87,7
5,4,2,2.0,1,No,0,P88,P87,7
4,6,2,2.0,1,Yes,0,P84,P87,7
6,6,2,2.0,1,Yes,0,P106,,7
6,6,2,2.0,0,,0,P81,P87,7
4,4,2,2.0,1,No,0,P86,P87,7
6,6,2,2.0,1,Yes,1,P82,P87,7
6,6,2,2.0,0,Yes,0,P84,P90,7
6,6,2,2.0,1,Yes,0,P106,,7
5,6,2,2.0,0,Yes,0,P88,P90,7
5,5,2,2.0,0,Yes,0,P80,,7
5,4,2,2.0,0,No,0,P86,,7
5,5,2,2.0,0,Yes,0,P91,P90,7
5,6,2,2.0,0,,0,P81,P90,7
6,6,2,2.0,1,Yes,1,P82,P90,7
6,6,2,2.0,0,No,0,P87,P82,7
5,6,2,2.0,0,Yes,0,P87,P90,7
6,5,1,2.0,1,Yes,1,P92,P95,8
6,4,1,2.0,0,No,0,P97,P95,8
4,4,2,2.0,1,Yes,1,P102,P95,8
6,6,2,2.0,0,No,1,P96,P95,8
6,5,2,2.0,0,No,0,P104,,8
6,6,2,2.0,0,Yes,1,P98,,8
6,5,2,2.0,0,Yes,1,P93,P95,8
6,6,2,2.0,1,Yes,0,P94,P95,8
6,5,0,2.0,1,No,1,P100,,8
5,6,2,2.0,1,No,0,P103,P95,8
6,4,2,2.0,1,Yes,0,P99,P99,8
6,6,2,1.0,0,No,1,P93,P92,8
6,6,2,2.0,0,No,1,P96,P92,8
5,5,2,2.0,0,No,0,P103,P92,8
6,6,2,2.0,1,Yes,0,P94,P92,8
4,4,2,2.0,0,Yes,1,P102,P92,8
6,5,1,2.0,0,No,0,P104,P92,8
5,5,2,2.0,1,Yes,0,P99,P99,8
6,5,2,2.0,0,No,0,P97,P92,8
6,6,2,2.0,1,Yes,0,P98,P92,8
6,6,2,2.0,1,Yes,1,P95,P92,8
5,5,1,2.0,1,No,0,P100,P92,8
6,6,2,2.0,1,Yes,1,P95,P94,8
5,5,2,2.0,0,No,0,P104,P94,8
6,6,2,2.0,1,Yes,1,P102,P94,8
6,6,2,2.0,1,Yes,1,P92,P94,8
5,6,2,2.0,1,No,0,P100,P94,8
6,6,2,2.0,0,Yes,0,P98,P94,8
6,6,2,2.0,1,No,1,P93,P94,8
5,5,2,2.0,0,Yes,0,P97,P94,8
4,5,2,2.0,0,No,0,P99,P99,8
6,6,2,2.0,0,Yes,0,P96,P94,8
5,6,2,2.0,1,No,0,P103,P94,8
6,6,2,2.0,0,Yes,0,P10,P2,1
6,6,2,2.0,1,Yes,0,P3,P2,1
