"I like studying at KTU university (1-not at all, 5-very much)",I consider myself an advanced student.,"At the moment, I would describe my studies at KTU University as:",Provides feedback,Clearly and understandably explains the subject,Is sincere,Has sense of humor.,Is creative,Is punctual,Is able to communicate properly with students,Writes high grades,What qualities should a good teacher have?,Engaging all students in the activities during the lecture,Informative,Easily understandable,Includes many examples,Motivating to achieve the best results,Allowing creative execution of tasks,Summary at the end of the lecture,What other criteria you would select for a good lecture?,Structured information provided,Weekly questionnaires during the lecture,Team work,Gamified learning material,Informal learning environment,"Social networks involvement in the learning process (TikTok, Instagram, etc.)",Artificial intelligence inclusion in the learning process,Help/consultation from other students,Specify what else would motivate you to engage in the activities of the lecture.,Talking too fast,Teminology is too complicated,Monotonous speach,There is no communication between the lecturer and students,Background noise,Excessive information in one lecture,Indicate what else is disturbing you from understanding the information presented in the lecture:,I would like to improve my public speaking skills,I would be interested in testing myself as a teacher,I would like to hear how other students present conduct lectures,Student_ID
3,Yes,Gained enough knowledge,4,5,3,3,3,5,4,2,Hearing,3,4,4,4,4,3,4,,5,3,1,4,4,1,1,4,,4,5,4,4,3,5,,2,1,1,P1
4,Yes,Gained enough knowledge,5,5,4,5,5,4,5,2,Charisma,5,5,3,5,5,4,4,Structured,5,2,3,4,2,1,2,2,The teacher's narrative and practical examples,3,5,4,4,4,4,Background noise,1,1,1,P2
4,Yes,I learned a lot,5,5,5,5,2,5,5,1,Good understanding of teaching material,1,5,5,5,5,2,3,The lecture does not assume that students already know a lot (from subjects that they have not yet studied at the university).,5,2,1,3,4,1,1,4,Good teacher,2,5,5,5,4,5,Too long deviations from the topic,2,2,3,P3
3,Just a little,Gained enough knowledge,5,5,3,4,2,4,5,3,Patient,4,4,5,3,5,2,2,With a little bit of humor.,4,3,2,4,5,2,2,5,More interesting environment,5,4,3,4,5,5,The silent teacher's speech is as if the teacher is teaching himself.,2,4,4,P4
5,Yes,I learned a lot,5,5,5,5,5,5,5,1,Able to simplify he theory,4,5,5,3,5,5,5,The information should be of consistent complexity.,3,5,1,4,1,1,1,1,Competition,4,1,1,1,5,1,Slides can be skipped during the presentation.,1,5,1,P5
5,Just a little,Gained enough knowledge,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,Additional points for the exam,3,3,3,3,3,3,,4,3,3,P6
4,Just a little,Gained enough knowledge,5,5,3,4,5,4,5,3,Does not read everything from slides,2,4,5,5,4,5,5,They cannot imagine that all students are as good as the best student.,4,2,2,4,3,1,4,3,,3,3,5,5,4,4,,3,2,3,P7
2,Yes,Gained enough knowledge,5,3,4,4,4,4,5,3,Is involved in student's work,5,4,2,4,5,4,5,Informative and effective use of time,5,3,1,3,5,3,5,4,Candy,3,2,4,3,2,1,"Lecture delivery, where the aim is to get through everything faster.",3,1,1,P8
4,Just a little,Gained enough knowledge,4,4,3,3,3,4,4,4,Doesn't make me bored during theory lectures,2,5,3,5,3,3,2,Deep theoretical material.,5,4,2,1,1,1,2,2,,3,2,4,2,4,3,,2,3,3,P9
5,Yes,I learned a lot,5,5,5,5,5,5,5,5,Charismatic,4,5,4,5,5,4,4,Feedback,5,5,5,5,5,5,5,5,Points system,1,1,1,1,1,1,A little lack of attention,5,1,5,P10
