"Did you enjoy leading the seminar for other students? (1 - not at all, 5 - very much)","Did you like the format of this lecture? (1 - did not like it at all, 5 - liked it very much)","Do you agree with the opinion expressed by your colleagues and the instructor about the seminar you conducted? (1 - completely disagree, 5 - completely agree)","Would you like to conduct the seminar again? (1 - not at all, 5 - very much)","I think the seminars led by colleagues were useful? (1 - completely disagree, 5 - completely agree)","I think that by evaluating my colleagues, I became more engaged in the activities? (1 - completely disagree, 5 - completely agree)","If you could conduct the seminar again, what would you improve?",What topics would you like to learn about during other seminars?,How would you suggest improving these activities?,Student_ID
5,5,5,5,5,5,I would subtly enter into time.,Internet,After-school activities,P5
4,4,5,3,3,5,"I would make a shorter, more digestible demo.",Web development,,P3
5,5,5,5,5,5,auditorium,web development,perfect,P8
2,3,5,3,4,2,I would prepare not on the last night :),,Have stronger requirements for the code writing.,P9
4,5,4,3,5,5,I would expand more on the topic I am leading. I would structure the content differently.,,,P11
5,5,5,5,5,5,I wouldn't give up the last night.,"Deep learning, AI",No need to improve.,P6
4,4,5,2,4,5,More jokes,"AI, networking, low level programming",Students should rather pay attention to the lectures.,P2
3,4,4,1,4,3,I would like a practical example.,More about game dev.,,P7
3,4,5,2,4,3,Preparation level…,,,P12
4,3,5,2,3,3,,,,P19
3,3,5,1,4,2,speech and presentation parts division,I don't know,I have nothing to add.,P18
3,2,5,2,3,3,I would choose another topic.,Cryptography,I don't know,P36
3,5,5,1,5,4,,,,P35
3,3,4,1,5,3,Demo project.,,,P44
1,3,3,1,2,3,,,,P42
5,5,5,3,5,5,"Speech, information presentation",,,P46
5,5,5,2,5,4,,Unreal engine operation,,P45
4,4,5,3,4,4,Nothing,I don't know,Nothing,P47
4,5,5,3,4,5,Another topic + experiments,,,P48
5,5,5,4,4,4,"I would worry less, because ""whatever will be, will be.""",About LiDAR and similar sensors,,P50
1,3,5,1,4,2,I wouldn't want to.,About IT topics :),"I think everything is fine with this lecture, I just don't like giving presentations.",P51
3,2,4,1,2,3,Share your knowledge about your topic.,Less artificial intelligence.,,P53
3,4,5,3,4,2,I would be less excited.,Game modding,I don't know,P55
4,5,5,3,4,4,More to engage the listeners,Game modification,,P57
3,4,4,2,4,3,Speaking.,The topic of the discussion was interesting.,Accurate requirements for deliveries.,P49
4,5,5,3,4,4,I would choose a better topic to prepare a more interesting project.,Less from the IT field,Select possible topics for which a project can be done in a short time and without spending money.,P61
4,5,4,1,4,4,I would personally allocate more time to creating/improving the test related to the topic.,Autonomous vehicles,I think the format of the activities is good enough; I can't think of how it could be improved.,P64
4,4,5,2,3,4,The quality of the experiment did not allow for a broader and deeper study during the initial presentations.,Insert systems,"At the beginning of the seminar, emphasize the name and surname, and wait for everyone to join the form being filled out.",P56
4,4,5,2,4,4,Nothing,not AI.,I don't know,P60
5,5,5,5,5,5,Nothing,Agro-culture,I don't know,P65
4,5,5,2,4,4,I would spend more time on the project.,,,P75
5,5,5,5,5,5,I would delve even deeper into the topic.,I don't have specific desired topics.,I have no offers.,P78
5,5,5,3,4,4,Slides,Game development tools,,P68
4,4,5,4,4,5,Program submission,About creating computer games with AI,Create a common survey file where a student can submit evaluations for all students at once.,P79
4,4,5,2,5,5,I would provide more examples.,"Related to this module or this course, such as operating systems or sprint methodology.","Maybe a bit shorter presentations, otherwise everything is fine.",P66
3,5,5,1,4,1,I would spend more time delving into the topic.,"3D graphics libraries (OpenGL, Vulkan)",,P74
4,4,4,4,4,2,I would pay more attention to the clarity of the presentation.,Everything about AI,Encourage the use of other tools besides slides.,P76
5,5,5,5,5,5,I would choose another topic or try to find another project.,Someone from the field of robotics.,Everything is good.,P72
5,5,5,1,4,5,I would add more kittens to the slides (as I only put 1).,About bank security,Maybe the teacher would also present on some topic.,P70
5,5,5,5,5,5,I would extend the length of the seminar; many important topics related to the subject remain unaddressed.,About quantum computing,I don't know,P105
5,5,5,5,5,5,I would extend the seminar time - there are many concepts important to the topic that I didn't have time to discuss.,Quantum computing,I don't know,P105
5,4,4,3,5,5,Project,Cybersecurity,,P84
5,5,5,5,5,5,Everything,More like something from statistics.,The format is actually very good.,P86
5,5,5,3,5,3,I would create a project that would be interactive for the audience.,More with cyber security,Everything is great.,P85
2,2,5,1,5,4,Project work,Something more from the programming side.,,P89
3,5,5,3,4,4,"To explore the topic more practically, rather than just theoretically.",,,P87
5,4,5,1,5,4,I would make it shorter so that I wouldn't have to talk for a long time.,,They are perfect.,P83
4,4,4,2,4,3,Project part,cloud technologies,"Nothing wrong, the module shape is good, the presentations are helpful.",P91
3,5,5,3,5,5,I would conduct a more detailed analysis.,,,P98
4,4,5,3,5,4,I would use more detailed information.,Electronic programming application methods.,,P93
5,5,5,2,5,3,Speaking pace,Game technologies,,P94
5,5,5,5,5,5,,,,P103
5,5,5,3,5,5,"Delivery process, speech on the chosen topic",More about game development,,P92
3,4,4,2,4,3,I would improve the slides and prepare more.,,,P104
4,4,5,3,4,4,Prepare more.,,,P96
3,3,5,2,3,4,"I would choose a topic I like more, I would better match the time.",,,P99
4,5,5,4,3,3,I would expand more on my topic.,About mobile operating systems,"I have no suggestions, I liked everything.",P102
