ID,Salygos,Kategorija,streso_ivertis_Pr,streso_ivertis_Eg,streso_ivertis_Os,streso_ivertis_Da,streso_ivertis_Er,naudingumas_Pr,naudingumas_Eg,naudingumas_Os,naudingumas_Da,naudingumas_Er,daznumas_Pr,daznumas_Eg,daznumas_Os,daznumas_Da,daznumas_Er,poelgis_Pr,poelgis_Eg,poelgis_Os,poelgis_Da,poelgis_Er
nr_1,Naktis,Avarine situacija,4,4,3,4,4,4,3,4,3,4,2,2,3,3,2,Neteisingas,Teisingas,Teisingas,Neteisingas,Neteisingas
nr_2,Naktis,Pavojus (danger),3,5,4,3,3,1,2,4,2,4,1,2,2,1,2,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_3,Naktis,"Parkavimas, manevravimas (parking)",4,5,5,5,3,5,5,5,5,0,5,5,2,2,2,Neteisingas,Neteisingas,Neteisingas,Neteisingas,Neteisingas
nr_4,"Diena, Lietus",Sankryza (intersection),3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_6,Diena,Juostos keitimas (lane changing),3,4,3,3,4,0,1,3,2,0,1,3,4,4,3,Neteisingas,Neteisingas,Neteisingas,Neteisingas,Neteisingas
nr_7,Diena,Pavojus (danger),4,4,4,3,4,3,4,4,2,5,3,4,4,3,3,Neteisingas,Neteisingas,Neteisingas,Teisingas,Teisingas
nr_8,Diena,Juostos keitimas (lane changing),3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,Neteisingas,Neteisingas,Neteisingas,Neteisingas,Neteisingas
nr_17,Naktis,Juostos keitimas (lane changing),3,3,4,4,3,3,3,4,4,3,2,2,2,2,2,Neteisingas,Neteisingas,Neteisingas,Neteisingas,Neteisingas
nr_9,"Diena, Lietus",Ziedas (roundabout),2,2,2,2,1,4,4,4,4,3,4,4,5,4,4,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_5,Diena,Pavojus (danger),2,3,2,2,3,2,2,2,2,2,4,4,4,4,4,Teisingas,Teisingas,Teisingas,Teisingas,Neteisingas
nr_10,"Diena, Lietus",Sankryza (intersection),3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_11,"Diena, Lietus","Parkavimas, manevravimas (parking)",2,3,4,4,3,3,4,4,4,4,5,5,3,3,5,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_12,Diena,Sankryza (intersection),2,2,4,4,2,5,5,4,4,5,5,5,4,4,5,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_13,Diena,Sankryza (intersection),2,3,2,2,3,4,4,3,3,4,4,4,5,5,4,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_14,Diena,Juostos keitimas (lane changing),4,4,5,5,4,4,4,4,4,4,4,4,2,2,4,Neteisingas,Neteisingas,Neteisingas,Neteisingas,Neteisingas
nr_15,Diena,Juostos keitimas (lane changing),3,3,2,2,3,3,3,3,3,3,3,4,5,5,4,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_16,Diena,Pavojus (danger),2,3,4,4,3,4,4,4,4,4,5,5,4,4,5,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_18,"Diena, Lietus",Juostos keitimas (lane changing),2,2,4,4,2,4,4,4,4,4,5,5,4,4,5,Neteisingas,Neteisingas,Neteisingas,Neteisingas,Neteisingas
nr_19,"Diena, Lietus",Juostos keitimas (lane changing),4,4,3,3,4,4,4,3,3,4,3,3,3,3,3,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_20,"Diena, Lietus",Pavojus (danger),5,5,5,5,5,2,2,4,4,2,1,3,2,2,3,Neteisingas,Neteisingas,Neteisingas,Neteisingas,Neteisingas
nr_21,"Diena, Lietus",Sankryza (intersection),2,3,3,3,3,2,3,3,3,3,1,4,3,4,4,Neteisingas,Neteisingas,Neteisingas,Neteisingas,Neteisingas
nr_22,Diena,Sankryza (intersection),5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_23,Diena,"Parkavimas, manevravimas (parking)",4,4,3,3,4,4,5,4,4,5,4,5,3,3,5,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_24,"Naktis, Lietus","Parkavimas, manevravimas (parking)",4,2,4,3,2,4,2,4,3,2,2,4,2,2,4,Teisingas,Neteisingas,Neteisingas,Neteisingas,Neteisingas
nr_25,"Naktis, Lietus","Parkavimas, manevravimas (parking)",2,2,4,3,2,2,2,3,3,2,3,4,2,2,4,Teisingas,Neteisingas,Neteisingas,Neteisingas,Neteisingas
nr_26,Naktis,Kelio darbai (roadwork),2,2,3,3,2,2,3,3,3,3,1,5,5,4,5,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_27,Naktis,Juostos keitimas (lane changing),1,1,4,4,1,1,3,3,3,3,5,5,4,4,5,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_28,Diena,Kelio darbai (roadwork),3,2,3,3,2,1,1,2,3,1,1,1,1,3,1,Teisingas,Teisingas,Teisingas,Neteisingas,Teisingas
nr_29,Naktis,Tiesiai (straight),4,4,4,4,4,4,5,4,4,5,2,3,2,2,3,Neteisingas,Neteisingas,Neteisingas,Neteisingas,Teisingas
nr_30,"Diena, Lietus",Juostos keitimas (lane changing),4,5,4,5,5,4,4,4,4,4,4,5,3,5,5,Teisingas,Teisingas,Teisingas,Neteisingas,Teisingas
nr_31,"Diena, Lietus","Parkavimas, manevravimas (parking)",4,5,3,4,5,4,4,4,4,4,2,5,3,4,5,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_32,Naktis,Juostos keitimas (lane changing),3,3,2,2,3,3,4,3,3,4,5,5,5,5,5,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_33,"Naktis, Lietus",Kelio darbai (roadwork),3,4,3,3,1,3,3,3,3,3,4,4,5,5,3,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_34,Naktis,Juostos keitimas (lane changing),3,3,2,2,1,3,3,3,3,2,3,3,4,4,3,Neteisingas,Neteisingas,Neteisingas,Neteisingas,Teisingas
nr_35,"Naktis, Lietus",Kelio darbai (roadwork),4,4,4,3,4,2,3,4,3,3,2,3,3,3,3,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_36,Naktis,Tiesiai (straight),5,5,5,5,4,1,1,2,2,2,1,1,1,1,1,Teisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_37,Naktis,Tiesiai (straight),5,3,5,5,4,1,3,5,5,4,1,4,2,2,2,Teisingas,Neteisingas,Neteisingas,Neteisingas,Neteisingas
nr_38,Naktis,"Parkavimas, manevravimas (parking)",3,5,2,2,3,2,5,3,3,4,3,5,3,3,3,Neteisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_39,Naktis,Pavojus (danger),5,4,4,4,2,4,3,3,3,3,5,3,4,3,3,Teisingas,Teisingas,Teisingas,Neteisingas,Teisingas
nr_40,Naktis,"Kelio darbai (roadwork), Juostos keitimas (lane changing)",2,4,3,3,2,3,4,3,3,3,3,4,4,3,5,Neteisingas,Teisingas,Teisingas,Teisingas,Teisingas
nr_41,Naktis,Lenkimas (overtaking),3,3,4,3,1,4,3,4,4,3,3,4,4,4,3,Neteisingas,Teisingas,Neteisingas,Neteisingas,Neteisingas
