timeStamp: 538566616612728512, state: Initial, ppg0: 310083, ppg1: 396944, ppg2: 323999, ambient: 5350
timeStamp: 538566616620420800, state: Initial, ppg0: 310210, ppg1: 397042, ppg2: 324133, ambient: 5347
timeStamp: 538566616628113152, state: Initial, ppg0: 310309, ppg1: 397122, ppg2: 324259, ambient: 5340
timeStamp: 538566616635805440, state: Initial, ppg0: 310343, ppg1: 397191, ppg2: 324330, ambient: 5379
timeStamp: 538566616643497728, state: Initial, ppg0: 310355, ppg1: 397342, ppg2: 324338, ambient: 5362
timeStamp: 538566616651190080, state: Initial, ppg0: 310411, ppg1: 397535, ppg2: 324520, ambient: 5363
timeStamp: 538566616658882368, state: Initial, ppg0: 310494, ppg1: 397563, ppg2: 324560, ambient: 5257
timeStamp: 538566616666574656, state: Initial, ppg0: 310479, ppg1: 397580, ppg2: 324699, ambient: 5252
timeStamp: 538566616674266944, state: Initial, ppg0: 310591, ppg1: 397716, ppg2: 324775, ambient: 5308
timeStamp: 538566616681959296, state: Initial, ppg0: 310704, ppg1: 397789, ppg2: 324844, ambient: 5321
timeStamp: 538566616689651584, state: Initial, ppg0: 310730, ppg1: 397855, ppg2: 324878, ambient: 5313
timeStamp: 538566616697343872, state: Initial, ppg0: 310878, ppg1: 398000, ppg2: 325081, ambient: 5290
timeStamp: 538566616705036224, state: Initial, ppg0: 310942, ppg1: 398062, ppg2: 325129, ambient: 5250
timeStamp: 538566616712728512, state: Initial, ppg0: 311030, ppg1: 398238, ppg2: 325338, ambient: 5300
timeStamp: 538566616720420800, state: Initial, ppg0: 311180, ppg1: 398420, ppg2: 325486, ambient: 5323
timeStamp: 538566616728113152, state: Initial, ppg0: 311278, ppg1: 398489, ppg2: 325598, ambient: 5379
timeStamp: 538566616735805440, state: Initial, ppg0: 311352, ppg1: 398624, ppg2: 325616, ambient: 5299
timeStamp: 538566616743497728, state: Initial, ppg0: 311415, ppg1: 398778, ppg2: 325720, ambient: 5347
timeStamp: 538566616750919680, state: Initial, ppg0: 311701, ppg1: 399055, ppg2: 325580, ambient: 5454
timeStamp: 538566616758341632, state: Initial, ppg0: 311634, ppg1: 399108, ppg2: 325950, ambient: 5414
timeStamp: 538566616765763584, state: Initial, ppg0: 311706, ppg1: 399256, ppg2: 326180, ambient: 5351
timeStamp: 538566616773185536, state: Initial, ppg0: 311791, ppg1: 399277, ppg2: 326334, ambient: 5397
timeStamp: 538566616780607488, state: Initial, ppg0: 311947, ppg1: 399491, ppg2: 326465, ambient: 5386
timeStamp: 538566616788029440, state: Initial, ppg0: 311973, ppg1: 399614, ppg2: 326538, ambient: 5354
timeStamp: 538566616795451392, state: Initial, ppg0: 311982, ppg1: 399799, ppg2: 326724, ambient: 5418
timeStamp: 538566616802873344, state: Initial, ppg0: 312136, ppg1: 399836, ppg2: 326854, ambient: 5397
timeStamp: 538566616810295296, state: Initial, ppg0: 312223, ppg1: 399949, ppg2: 326879, ambient: 5417
timeStamp: 538566616817717248, state: Initial, ppg0: 312433, ppg1: 400154, ppg2: 327028, ambient: 5312
timeStamp: 538566616825139200, state: Initial, ppg0: 312409, ppg1: 400166, ppg2: 327092, ambient: 5255
timeStamp: 538566616832561152, state: Initial, ppg0: 312518, ppg1: 400304, ppg2: 327241, ambient: 5367
timeStamp: 538566616839983104, state: Initial, ppg0: 312564, ppg1: 400391, ppg2: 327311, ambient: 5418
timeStamp: 538566616847405056, state: Initial, ppg0: 312676, ppg1: 400407, ppg2: 327294, ambient: 5405
timeStamp: 538566616854827008, state: Initial, ppg0: 312633, ppg1: 400348, ppg2: 327344, ambient: 5375
timeStamp: 538566616862248960, state: Initial, ppg0: 312523, ppg1: 400235, ppg2: 327212, ambient: 5410
timeStamp: 538566616869670912, state: Initial, ppg0: 312426, ppg1: 400175, ppg2: 327009, ambient: 5362
timeStamp: 538566616877092864, state: Initial, ppg0: 312325, ppg1: 399960, ppg2: 326879, ambient: 5392
timeStamp: 538566616884514816, state: Initial, ppg0: 312222, ppg1: 399914, ppg2: 326354, ambient: 5178
timeStamp: 538566616891936768, state: Initial, ppg0: 312097, ppg1: 399488, ppg2: 326201, ambient: 5338
timeStamp: 538566616899358720, state: Initial, ppg0: 311874, ppg1: 399274, ppg2: 326000, ambient: 5319
timeStamp: 538566616906780672, state: Initial, ppg0: 311744, ppg1: 398881, ppg2: 325680, ambient: 5336
timeStamp: 538566616914202624, state: Initial, ppg0: 311484, ppg1: 398629, ppg2: 325444, ambient: 5400
timeStamp: 538566616921624576, state: Initial, ppg0: 311326, ppg1: 398253, ppg2: 325173, ambient: 5370
timeStamp: 538566616929046528, state: Initial, ppg0: 311139, ppg1: 398049, ppg2: 325013, ambient: 5347
timeStamp: 538566616936468480, state: Initial, ppg0: 311006, ppg1: 397663, ppg2: 324692, ambient: 5346
timeStamp: 538566616943890432, state: Initial, ppg0: 310940, ppg1: 397480, ppg2: 324342, ambient: 5376
timeStamp: 538566616951312384, state: Initial, ppg0: 310831, ppg1: 397262, ppg2: 324189, ambient: 5410
timeStamp: 538566616958734336, state: Initial, ppg0: 310631, ppg1: 396932, ppg2: 323886, ambient: 5411
timeStamp: 538566616966156288, state: Initial, ppg0: 310515, ppg1: 396747, ppg2: 323751, ambient: 5348
timeStamp: 538566616973578240, state: Initial, ppg0: 310431, ppg1: 396527, ppg2: 323505, ambient: 5362
timeStamp: 538566616981000192, state: Initial, ppg0: 310362, ppg1: 396298, ppg2: 323426, ambient: 5620
timeStamp: 538566616988422144, state: Initial, ppg0: 310262, ppg1: 396184, ppg2: 323240, ambient: 5412
timeStamp: 538566616995844096, state: Initial, ppg0: 310231, ppg1: 396118, ppg2: 323127, ambient: 5389
timeStamp: 538566617003266048, state: Initial, ppg0: 310117, ppg1: 396031, ppg2: 323113, ambient: 5375
timeStamp: 538566617010688000, state: Initial, ppg0: 310008, ppg1: 395872, ppg2: 322879, ambient: 5329
timeStamp: 538566617018108160, state: Initial, ppg0: 309803, ppg1: 395699, ppg2: 322577, ambient: 5523
timeStamp: 538566617025528320, state: Initial, ppg0: 309804, ppg1: 395730, ppg2: 322708, ambient: 5442
timeStamp: 538566617032948416, state: Initial, ppg0: 309910, ppg1: 395588, ppg2: 322636, ambient: 5362
timeStamp: 538566617040368576, state: Initial, ppg0: 309901, ppg1: 395532, ppg2: 322538, ambient: 5387
timeStamp: 538566617047788672, state: Initial, ppg0: 309827, ppg1: 395495, ppg2: 322489, ambient: 5347
timeStamp: 538566617055208832, state: Initial, ppg0: 309928, ppg1: 395496, ppg2: 322495, ambient: 5361
timeStamp: 538566617062628928, state: Initial, ppg0: 309808, ppg1: 395502, ppg2: 322503, ambient: 5310
timeStamp: 538566617070049088, state: Initial, ppg0: 309958, ppg1: 395578, ppg2: 322605, ambient: 5307
timeStamp: 538566617077469184, state: Initial, ppg0: 309992, ppg1: 395633, ppg2: 322615, ambient: 5374
timeStamp: 538566617084889344, state: Initial, ppg0: 310046, ppg1: 395714, ppg2: 322716, ambient: 5361
timeStamp: 538566617092309504, state: Initial, ppg0: 310021, ppg1: 395772, ppg2: 322750, ambient: 5370
timeStamp: 538566617099729600, state: Initial, ppg0: 310098, ppg1: 395710, ppg2: 322819, ambient: 5348
timeStamp: 538566617107149760, state: Initial, ppg0: 310168, ppg1: 395829, ppg2: 322830, ambient: 5396
timeStamp: 538566617114569856, state: Initial, ppg0: 310249, ppg1: 395936, ppg2: 322900, ambient: 5375
timeStamp: 538566617121990016, state: Initial, ppg0: 310318, ppg1: 395973, ppg2: 322871, ambient: 5385
timeStamp: 538566617129410112, state: Initial, ppg0: 310288, ppg1: 395870, ppg2: 322885, ambient: 5287
timeStamp: 538566617136830272, state: Initial, ppg0: 310335, ppg1: 396022, ppg2: 322841, ambient: 5299
timeStamp: 538566617144250368, state: Initial, ppg0: 310328, ppg1: 395991, ppg2: 322932, ambient: 5287
timeStamp: 538566617151672320, state: Initial, ppg0: 310254, ppg1: 396011, ppg2: 322839, ambient: 5193
timeStamp: 538566617159094272, state: Initial, ppg0: 310196, ppg1: 396041, ppg2: 322943, ambient: 5205
timeStamp: 538566617166516224, state: Initial, ppg0: 310220, ppg1: 396120, ppg2: 322962, ambient: 5284
timeStamp: 538566617173938176, state: Initial, ppg0: 310366, ppg1: 396007, ppg2: 322996, ambient: 5290
timeStamp: 538566617181360128, state: Initial, ppg0: 310277, ppg1: 396076, ppg2: 323097, ambient: 5255
timeStamp: 538566617188782080, state: Initial, ppg0: 310296, ppg1: 396142, ppg2: 323183, ambient: 5247
timeStamp: 538566617196204032, state: Initial, ppg0: 310405, ppg1: 396201, ppg2: 323159, ambient: 5326
timeStamp: 538566617203625984, state: Initial, ppg0: 310420, ppg1: 396206, ppg2: 323130, ambient: 5264
timeStamp: 538566617211047936, state: Initial, ppg0: 310408, ppg1: 396329, ppg2: 323152, ambient: 5304
timeStamp: 538566617218469888, state: Initial, ppg0: 310461, ppg1: 396316, ppg2: 323169, ambient: 5270
timeStamp: 538566617225891840, state: Initial, ppg0: 310493, ppg1: 396382, ppg2: 323232, ambient: 5266
timeStamp: 538566617233313792, state: Initial, ppg0: 310530, ppg1: 396376, ppg2: 323324, ambient: 5264
timeStamp: 538566617240735744, state: Initial, ppg0: 310723, ppg1: 396563, ppg2: 323455, ambient: 5334
timeStamp: 538566617248157696, state: Initial, ppg0: 310755, ppg1: 396578, ppg2: 323550, ambient: 5330
timeStamp: 538566617255579648, state: Initial, ppg0: 310717, ppg1: 396589, ppg2: 323607, ambient: 5309
timeStamp: 538566617263001600, state: Initial, ppg0: 310776, ppg1: 396664, ppg2: 323734, ambient: 5292
timeStamp: 538566617270423552, state: Initial, ppg0: 310797, ppg1: 396704, ppg2: 323700, ambient: 5267
timeStamp: 538566617277845504, state: Initial, ppg0: 310897, ppg1: 396864, ppg2: 323840, ambient: 5328
timeStamp: 538566617285265664, state: Initial, ppg0: 310895, ppg1: 396676, ppg2: 323746, ambient: 5359
timeStamp: 538566617292685824, state: Initial, ppg0: 310956, ppg1: 396910, ppg2: 324003, ambient: 5418
timeStamp: 538566617300105920, state: Initial, ppg0: 311072, ppg1: 397106, ppg2: 324066, ambient: 5377
